Risk category,Description of risk,Cause of risk,Supply chain entities related to risk,Geographical locations of risk,Business sectors related to risk,News article url
Political Risk,Increased tariffs and changes to trade rules causing price increases and affecting sourcing strategies for retailers relying on Chinese imports,"New tariffs announced by President Donald Trump on Chinese imports and the closing of the ""de minimis"" exemption",Temu;Shein;Overhaul,China;U.S.;Europe,Fast-fashion;Home accessories retailers;Supply chain risk management company,https://qz.com/temu-and-shein-pricing-changes-trump-tariffs-1851776568
Demand Risk,Reduced sales volume for a retailer in a specific market,Sagging sales due to a variety of factors,Temu,United States,Fast-fashion;Home accessories retailers,https://qz.com/temu-and-shein-pricing-changes-trump-tariffs-1851776568
Political Risk,Uncertainty and potential disruption from international trade conflicts tariffs regulations and geopolitical instability,Prolonged global trade war; Anticipated tariff and regulatory changes; Geopolitical changes; Political turmoil,Organizations; Businesses,U.S.; Global,No information,https://www.forbes.com/sites/juliadhar/2025/04/16/financial-discipline-is-always-in-fashion/
Environmental Risk,Potential disruption caused by natural disasters,Natural disaster,Organizations; Businesses,No information,No information,https://www.forbes.com/sites/juliadhar/2025/04/16/financial-discipline-is-always-in-fashion/
Financial Risk,Risk arising from economic downturns and fluctuations in currency values,Economic recession; Currency volatility,Organizations; Businesses,U.S.; Global,No information,https://www.forbes.com/sites/juliadhar/2025/04/16/financial-discipline-is-always-in-fashion/
Demand Risk,Uncertainty about future customer demand due to changing preferences and market conditions,Unexpected market shifts; Changing customer preferences; Negative consumer sentiment,Organizations; Businesses; U.S. consumer,U.S.; Global,No information,https://www.forbes.com/sites/juliadhar/2025/04/16/financial-discipline-is-always-in-fashion/
Cultural Risk,Difficulty in implementing financial discipline and other necessary changes due to ingrained organizational culture,Financial discipline not embedded in organizations culture and DNA; Resistance to internal change,Organizations; Businesses,U.S.; Global,No information,https://www.forbes.com/sites/juliadhar/2025/04/16/financial-discipline-is-always-in-fashion/
Political Risk,Threat of price increases due to potential wide-ranging tariffs,President Donald Trump's wide-ranging tariffs,Robert W. Burrage; RWB Construction Management; subcontractors; vendors; suppliers; builders; buyers; clients,South Florida; China,Luxury homes construction business; construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Political Risk,Uncertainty about future tariff rates scope and timing,Lack of clear government policy/announcement regarding tariff details,subcontractors; vendors; suppliers; builders; buyers,South Florida; China,luxury homes construction business; construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
Logistics Risk,Parts needed were stuck in places far away,COVID-19 pandemic disrupting logistics,Suppliers; RWB Construction Management,Italy,construction industry,https://finance.yahoo.com/news/luxury-homebuilder-says-trump-tariffs-120652387.html
